timestamp,hora,total
1772911626,16:27:06,1
1772911687,16:28:07,19
1772911726,16:28:46,6
1772911788,16:29:48,1
1772911848,16:30:48,8
1772911909,16:31:49,8
1772911970,16:32:50,11
1772912030,16:33:50,7
1772912091,16:34:51,8
1772912151,16:35:51,1
1772912212,16:36:52,10
1772912273,16:37:53,6
1772912333,16:38:53,1
1772912394,16:39:54,15
1772912454,16:40:54,8
1772912515,16:41:55,16
1772912576,16:42:56,3
1772912637,16:43:57,14
1772912697,16:44:57,1
1772912758,16:45:58,2
1772912819,16:46:59,8
1772912880,16:48:00,1
1772912940,16:49:00,8
1772913001,16:50:01,2
1772913062,16:51:02,4
1772913123,16:52:03,4
1772913183,16:53:03,2
1772913244,16:54:04,2
1772913305,16:55:05,2
1772913366,16:56:06,2
1772913427,16:57:07,1
1772913487,16:58:07,2
1772913548,16:59:08,4
1772913609,17:00:09,1
1772913669,17:01:09,3
1772913730,17:02:10,2
1772913791,17:03:11,3
1772913853,17:04:13,1
1772913914,17:05:14,3
1772913975,17:06:15,2
1772914036,17:07:16,2
1772914097,17:08:17,1
1772914165,17:09:25,1
1772914226,17:10:26,5
1772914286,17:11:26,6
1772914417,17:13:37,17
1772914478,17:14:38,3
1772914538,17:15:38,16
1772914599,17:16:39,12
1772914660,17:17:40,25
1772914721,17:18:41,27
1772914781,17:19:41,2
1772914913,17:21:53,6
1772914974,17:22:54,12
1772915034,17:23:54,6
1772915095,17:24:55,2
1772915156,17:25:56,1
1772915216,17:26:56,14
1772915277,17:27:57,10
1772915338,17:28:58,3
1772915401,17:30:01,1
1772915462,17:31:02,21
1772915523,17:32:03,6
1772915583,17:33:03,4
1772915649,17:34:09,2
1772915709,17:35:09,13
1772915770,17:36:10,4
1772915832,17:37:12,1
1772915893,17:38:13,13
1772915954,17:39:14,8
1772916014,17:40:14,1
1772916075,17:41:15,2
1772916136,17:42:16,3
1772916196,17:43:16,16
1772916257,17:44:17,8
1772916323,17:45:23,1
1772916384,17:46:24,7
1772916445,17:47:25,12
1772916505,17:48:25,4
1772916566,17:49:26,2
1772916627,17:50:27,10
1772916688,17:51:28,7
1772916749,17:52:29,11
1772916809,17:53:29,6
1772916870,17:54:30,3
1772917002,17:56:42,7
